date,vnindex_close,usd_vnd_close,foreign_flow_bn_vnd,source_status
2/2/2018,947.01,22741,-130.5,ASSUMPTION_PLACEHOLDER_SERIES
2/5/2018,929.43,22701,294.5,ASSUMPTION_PLACEHOLDER_SERIES
2/6/2018,927.3,22702,-267.9,ASSUMPTION_PLACEHOLDER_SERIES
2/7/2018,928.85,22696,6.2,ASSUMPTION_PLACEHOLDER_SERIES
2/8/2018,921.59,22703,146.2,ASSUMPTION_PLACEHOLDER_SERIES
2/9/2018,929.46,22687,315.8,ASSUMPTION_PLACEHOLDER_SERIES
2/12/2018,934.91,22675,74.3,ASSUMPTION_PLACEHOLDER_SERIES
2/13/2018,933.95,22647,-545.7,ASSUMPTION_PLACEHOLDER_SERIES
2/14/2018,935.03,22649,-48.5,ASSUMPTION_PLACEHOLDER_SERIES
2/15/2018,914.25,22660,-355.5,ASSUMPTION_PLACEHOLDER_SERIES
2/16/2018,927.54,22613,-1193.5,ASSUMPTION_PLACEHOLDER_SERIES
2/19/2018,948.42,22625,-451.5,ASSUMPTION_PLACEHOLDER_SERIES
2/20/2018,962.67,22589,-440.4,ASSUMPTION_PLACEHOLDER_SERIES
2/21/2018,963.72,22582,-182.5,ASSUMPTION_PLACEHOLDER_SERIES
2/22/2018,966.94,22638,643.4,ASSUMPTION_PLACEHOLDER_SERIES
2/23/2018,968.57,22649,231.8,ASSUMPTION_PLACEHOLDER_SERIES
2/26/2018,962.26,22685,41.1,ASSUMPTION_PLACEHOLDER_SERIES
2/27/2018,948.19,22647,21.3,ASSUMPTION_PLACEHOLDER_SERIES
2/28/2018,959.36,22713,-431.7,ASSUMPTION_PLACEHOLDER_SERIES
3/1/2018,956.96,22663,-790.6,ASSUMPTION_PLACEHOLDER_SERIES
3/2/2018,948.49,22703,-415.7,ASSUMPTION_PLACEHOLDER_SERIES
3/5/2018,942.45,22721,277.5,ASSUMPTION_PLACEHOLDER_SERIES
3/6/2018,942.79,22741,534.5,ASSUMPTION_PLACEHOLDER_SERIES
3/7/2018,935.03,22722,-11.5,ASSUMPTION_PLACEHOLDER_SERIES
3/8/2018,934.27,22716,293.2,ASSUMPTION_PLACEHOLDER_SERIES
3/9/2018,926.01,22752,156.8,ASSUMPTION_PLACEHOLDER_SERIES
3/12/2018,936.7,22736,23.9,ASSUMPTION_PLACEHOLDER_SERIES
3/13/2018,946.34,22739,-490.9,ASSUMPTION_PLACEHOLDER_SERIES
3/14/2018,943.96,22775,-154.7,ASSUMPTION_PLACEHOLDER_SERIES
3/15/2018,927.76,22765,-480.1,ASSUMPTION_PLACEHOLDER_SERIES
3/16/2018,926.95,22784,-422,ASSUMPTION_PLACEHOLDER_SERIES
3/19/2018,913,22799,-541,ASSUMPTION_PLACEHOLDER_SERIES
3/20/2018,908.27,22767,179.2,ASSUMPTION_PLACEHOLDER_SERIES
3/21/2018,905.14,22778,-860.9,ASSUMPTION_PLACEHOLDER_SERIES
3/22/2018,903.38,22807,110.6,ASSUMPTION_PLACEHOLDER_SERIES
3/23/2018,895.72,22817,-220.8,ASSUMPTION_PLACEHOLDER_SERIES
3/26/2018,896.69,22847,130.8,ASSUMPTION_PLACEHOLDER_SERIES
3/27/2018,895.26,22856,96.1,ASSUMPTION_PLACEHOLDER_SERIES
3/28/2018,901.05,22865,820.3,ASSUMPTION_PLACEHOLDER_SERIES
3/29/2018,909.46,22860,341.6,ASSUMPTION_PLACEHOLDER_SERIES
3/30/2018,917.81,22881,-81.9,ASSUMPTION_PLACEHOLDER_SERIES
4/2/2018,912.53,22874,-124.8,ASSUMPTION_PLACEHOLDER_SERIES
4/3/2018,908.64,22890,43.9,ASSUMPTION_PLACEHOLDER_SERIES
4/4/2018,917.52,22887,-420,ASSUMPTION_PLACEHOLDER_SERIES
4/5/2018,911.05,22933,-653.6,ASSUMPTION_PLACEHOLDER_SERIES
4/6/2018,912.2,22933,289.8,ASSUMPTION_PLACEHOLDER_SERIES
4/9/2018,910.21,22943,-803.5,ASSUMPTION_PLACEHOLDER_SERIES
4/10/2018,903.74,22960,451.1,ASSUMPTION_PLACEHOLDER_SERIES
4/11/2018,899.6,23010,-38.3,ASSUMPTION_PLACEHOLDER_SERIES
4/12/2018,914.2,22966,-258.1,ASSUMPTION_PLACEHOLDER_SERIES
4/13/2018,922.68,22985,35,ASSUMPTION_PLACEHOLDER_SERIES
4/16/2018,939.02,23021,503.8,ASSUMPTION_PLACEHOLDER_SERIES
4/17/2018,953.48,23029,542.7,ASSUMPTION_PLACEHOLDER_SERIES
4/18/2018,969.08,23018,-132.2,ASSUMPTION_PLACEHOLDER_SERIES
4/19/2018,960.57,23052,-171.9,ASSUMPTION_PLACEHOLDER_SERIES
4/20/2018,984.05,23097,-708.9,ASSUMPTION_PLACEHOLDER_SERIES
4/23/2018,984.3,23104,157.3,ASSUMPTION_PLACEHOLDER_SERIES
4/24/2018,992.26,23131,355.9,ASSUMPTION_PLACEHOLDER_SERIES
4/25/2018,978.01,23075,178.5,ASSUMPTION_PLACEHOLDER_SERIES
4/26/2018,980.33,23110,-328.1,ASSUMPTION_PLACEHOLDER_SERIES
4/27/2018,974.59,23083,195.3,ASSUMPTION_PLACEHOLDER_SERIES
4/30/2018,966.53,23071,220.1,ASSUMPTION_PLACEHOLDER_SERIES
5/1/2018,961.76,23082,-50,ASSUMPTION_PLACEHOLDER_SERIES
5/2/2018,960.36,23077,182.2,ASSUMPTION_PLACEHOLDER_SERIES
5/3/2018,980.87,23087,853.6,ASSUMPTION_PLACEHOLDER_SERIES
5/4/2018,987.89,23086,-45,ASSUMPTION_PLACEHOLDER_SERIES
5/7/2018,1000.01,23083,1036,ASSUMPTION_PLACEHOLDER_SERIES
5/8/2018,993.48,23130,540,ASSUMPTION_PLACEHOLDER_SERIES
5/9/2018,976.94,23114,92.4,ASSUMPTION_PLACEHOLDER_SERIES
5/10/2018,985.3,23158,42.2,ASSUMPTION_PLACEHOLDER_SERIES
5/11/2018,981.3,23268,-136,ASSUMPTION_PLACEHOLDER_SERIES
5/14/2018,995.76,23298,487,ASSUMPTION_PLACEHOLDER_SERIES
5/15/2018,981.31,23307,132.5,ASSUMPTION_PLACEHOLDER_SERIES
5/16/2018,987.29,23390,-184.8,ASSUMPTION_PLACEHOLDER_SERIES
5/17/2018,990.82,23457,-577.7,ASSUMPTION_PLACEHOLDER_SERIES
5/18/2018,986.19,23400,-329.5,ASSUMPTION_PLACEHOLDER_SERIES
5/21/2018,997.5,23448,568.1,ASSUMPTION_PLACEHOLDER_SERIES
5/22/2018,1013.11,23416,-223.8,ASSUMPTION_PLACEHOLDER_SERIES
5/23/2018,1022.94,23363,-119.7,ASSUMPTION_PLACEHOLDER_SERIES
5/24/2018,1019.53,23372,-23.9,ASSUMPTION_PLACEHOLDER_SERIES
5/25/2018,990.39,23396,-18.2,ASSUMPTION_PLACEHOLDER_SERIES
5/28/2018,995.19,23384,140.4,ASSUMPTION_PLACEHOLDER_SERIES
5/29/2018,983.18,23391,-137.2,ASSUMPTION_PLACEHOLDER_SERIES
5/30/2018,988.02,23418,2.3,ASSUMPTION_PLACEHOLDER_SERIES
5/31/2018,989.63,23433,-46.1,ASSUMPTION_PLACEHOLDER_SERIES
6/1/2018,965,23465,-602.2,ASSUMPTION_PLACEHOLDER_SERIES
6/4/2018,944.27,23491,-525.9,ASSUMPTION_PLACEHOLDER_SERIES
6/5/2018,953.85,23493,311.8,ASSUMPTION_PLACEHOLDER_SERIES
6/6/2018,950.15,23525,-642.7,ASSUMPTION_PLACEHOLDER_SERIES
6/7/2018,953.51,23474,375.7,ASSUMPTION_PLACEHOLDER_SERIES
6/8/2018,944.56,23447,83.5,ASSUMPTION_PLACEHOLDER_SERIES
6/11/2018,939.84,23399,-58,ASSUMPTION_PLACEHOLDER_SERIES
6/12/2018,949.85,23361,273.9,ASSUMPTION_PLACEHOLDER_SERIES
6/13/2018,947.13,23296,-334.3,ASSUMPTION_PLACEHOLDER_SERIES
6/14/2018,952.53,23264,-604.1,ASSUMPTION_PLACEHOLDER_SERIES
6/15/2018,962.48,23240,-22.9,ASSUMPTION_PLACEHOLDER_SERIES
6/18/2018,976.79,23252,889.4,ASSUMPTION_PLACEHOLDER_SERIES
6/19/2018,991.84,23239,-897.2,ASSUMPTION_PLACEHOLDER_SERIES
6/20/2018,983.1,23295,85.1,ASSUMPTION_PLACEHOLDER_SERIES
6/21/2018,973.61,23253,792.6,ASSUMPTION_PLACEHOLDER_SERIES
6/22/2018,960.72,23230,734.8,ASSUMPTION_PLACEHOLDER_SERIES
6/25/2018,965.25,23255,1206.1,ASSUMPTION_PLACEHOLDER_SERIES
6/26/2018,1002.14,23228,451,ASSUMPTION_PLACEHOLDER_SERIES
6/27/2018,988.1,23252,346.6,ASSUMPTION_PLACEHOLDER_SERIES
6/28/2018,985.02,23290,-90.3,ASSUMPTION_PLACEHOLDER_SERIES
6/29/2018,1005.71,23252,-609.5,ASSUMPTION_PLACEHOLDER_SERIES
7/2/2018,1007.77,23221,-753.7,ASSUMPTION_PLACEHOLDER_SERIES
7/3/2018,993.21,23279,197.6,ASSUMPTION_PLACEHOLDER_SERIES
7/4/2018,993.15,23316,473.9,ASSUMPTION_PLACEHOLDER_SERIES
7/5/2018,1012.8,23290,-208.6,ASSUMPTION_PLACEHOLDER_SERIES
7/6/2018,1029.99,23244,584.1,ASSUMPTION_PLACEHOLDER_SERIES
7/9/2018,1027.47,23257,-872.7,ASSUMPTION_PLACEHOLDER_SERIES
7/10/2018,1033.03,23192,140.5,ASSUMPTION_PLACEHOLDER_SERIES
7/11/2018,1014.75,23168,468.6,ASSUMPTION_PLACEHOLDER_SERIES
7/12/2018,1032.68,23160,339.5,ASSUMPTION_PLACEHOLDER_SERIES
7/13/2018,1053.5,23178,178.7,ASSUMPTION_PLACEHOLDER_SERIES
7/16/2018,1035.2,23175,385.8,ASSUMPTION_PLACEHOLDER_SERIES
7/17/2018,1020.16,23199,409.6,ASSUMPTION_PLACEHOLDER_SERIES
7/18/2018,1025.5,23273,108.1,ASSUMPTION_PLACEHOLDER_SERIES
7/19/2018,1017.21,23257,73.4,ASSUMPTION_PLACEHOLDER_SERIES
7/20/2018,1027.17,23201,-910.8,ASSUMPTION_PLACEHOLDER_SERIES
7/23/2018,1040.28,23282,187.1,ASSUMPTION_PLACEHOLDER_SERIES
7/24/2018,1046.29,23198,88.7,ASSUMPTION_PLACEHOLDER_SERIES
7/25/2018,1033.92,23224,-628.5,ASSUMPTION_PLACEHOLDER_SERIES
7/26/2018,1021.82,23258,-943.6,ASSUMPTION_PLACEHOLDER_SERIES
7/27/2018,1026.32,23257,137.3,ASSUMPTION_PLACEHOLDER_SERIES
7/30/2018,1030.5,23252,975.1,ASSUMPTION_PLACEHOLDER_SERIES
7/31/2018,1041.54,23285,-167.7,ASSUMPTION_PLACEHOLDER_SERIES
8/1/2018,1046.95,23310,457.3,ASSUMPTION_PLACEHOLDER_SERIES
8/2/2018,1036.78,23302,-56.7,ASSUMPTION_PLACEHOLDER_SERIES
8/3/2018,1011.65,23282,157.8,ASSUMPTION_PLACEHOLDER_SERIES
8/6/2018,1010.95,23200,380.2,ASSUMPTION_PLACEHOLDER_SERIES
8/7/2018,1017.98,23242,360.9,ASSUMPTION_PLACEHOLDER_SERIES
8/8/2018,1034.98,23220,567.1,ASSUMPTION_PLACEHOLDER_SERIES
8/9/2018,1037.35,23225,-97.9,ASSUMPTION_PLACEHOLDER_SERIES
8/10/2018,1018.14,23219,453,ASSUMPTION_PLACEHOLDER_SERIES
8/13/2018,1007.1,23185,-607.3,ASSUMPTION_PLACEHOLDER_SERIES
8/14/2018,994.85,23133,-347.7,ASSUMPTION_PLACEHOLDER_SERIES
8/15/2018,990.56,23191,-133.4,ASSUMPTION_PLACEHOLDER_SERIES
8/16/2018,988.91,23249,1070.8,ASSUMPTION_PLACEHOLDER_SERIES
8/17/2018,993.81,23229,-125.8,ASSUMPTION_PLACEHOLDER_SERIES
8/20/2018,995.24,23245,-572.1,ASSUMPTION_PLACEHOLDER_SERIES
8/21/2018,1015.13,23264,-155.2,ASSUMPTION_PLACEHOLDER_SERIES
8/22/2018,1020.16,23225,-22.5,ASSUMPTION_PLACEHOLDER_SERIES
8/23/2018,1027.76,23193,-35.4,ASSUMPTION_PLACEHOLDER_SERIES
8/24/2018,1038.87,23149,-22.7,ASSUMPTION_PLACEHOLDER_SERIES
8/27/2018,1040.21,23152,-212.8,ASSUMPTION_PLACEHOLDER_SERIES
8/28/2018,1044.48,23167,-342.9,ASSUMPTION_PLACEHOLDER_SERIES
8/29/2018,1036.33,23242,-60.7,ASSUMPTION_PLACEHOLDER_SERIES
8/30/2018,1027.91,23210,-208.4,ASSUMPTION_PLACEHOLDER_SERIES
8/31/2018,1033.91,23245,-351,ASSUMPTION_PLACEHOLDER_SERIES
9/3/2018,1021.07,23215,-556.7,ASSUMPTION_PLACEHOLDER_SERIES
9/4/2018,1008.2,23201,36.8,ASSUMPTION_PLACEHOLDER_SERIES
9/5/2018,1004.83,23162,-442.2,ASSUMPTION_PLACEHOLDER_SERIES
9/6/2018,1004.38,23168,540.8,ASSUMPTION_PLACEHOLDER_SERIES
9/7/2018,1001.1,23121,-247.6,ASSUMPTION_PLACEHOLDER_SERIES
9/10/2018,1012.98,23141,53.5,ASSUMPTION_PLACEHOLDER_SERIES
9/11/2018,1016.82,23143,-356.2,ASSUMPTION_PLACEHOLDER_SERIES
9/12/2018,1013.95,23177,-137.2,ASSUMPTION_PLACEHOLDER_SERIES
9/13/2018,1022.05,23112,630.2,ASSUMPTION_PLACEHOLDER_SERIES
9/14/2018,1024.14,23080,216.9,ASSUMPTION_PLACEHOLDER_SERIES
9/17/2018,1003.95,23069,663.1,ASSUMPTION_PLACEHOLDER_SERIES
9/18/2018,995.75,23053,371.1,ASSUMPTION_PLACEHOLDER_SERIES
9/19/2018,998.08,23091,1106.5,ASSUMPTION_PLACEHOLDER_SERIES
9/20/2018,995.26,23107,-406.6,ASSUMPTION_PLACEHOLDER_SERIES
9/21/2018,1006.52,23137,188.6,ASSUMPTION_PLACEHOLDER_SERIES
9/24/2018,1010.96,23139,318.4,ASSUMPTION_PLACEHOLDER_SERIES
9/25/2018,998.83,23165,-357.4,ASSUMPTION_PLACEHOLDER_SERIES
9/26/2018,981.82,23154,359,ASSUMPTION_PLACEHOLDER_SERIES
9/27/2018,983.17,23133,427.4,ASSUMPTION_PLACEHOLDER_SERIES
9/28/2018,988.32,23169,-743,ASSUMPTION_PLACEHOLDER_SERIES
10/1/2018,989.11,23168,-342.4,ASSUMPTION_PLACEHOLDER_SERIES
10/2/2018,1001.91,23172,161.9,ASSUMPTION_PLACEHOLDER_SERIES
10/3/2018,988.64,23221,-228.2,ASSUMPTION_PLACEHOLDER_SERIES
10/4/2018,996.59,23189,-357,ASSUMPTION_PLACEHOLDER_SERIES
10/5/2018,988.74,23208,873.9,ASSUMPTION_PLACEHOLDER_SERIES
10/8/2018,1000.22,23193,527.1,ASSUMPTION_PLACEHOLDER_SERIES
10/9/2018,991.3,23182,1.8,ASSUMPTION_PLACEHOLDER_SERIES
10/10/2018,980.31,23126,-331.6,ASSUMPTION_PLACEHOLDER_SERIES
10/11/2018,996.61,23092,253.2,ASSUMPTION_PLACEHOLDER_SERIES
10/12/2018,999.86,23079,-285.6,ASSUMPTION_PLACEHOLDER_SERIES
10/15/2018,1008.83,23038,-414.1,ASSUMPTION_PLACEHOLDER_SERIES
10/16/2018,1011.86,23090,58.7,ASSUMPTION_PLACEHOLDER_SERIES
10/17/2018,1020.48,23086,-7.2,ASSUMPTION_PLACEHOLDER_SERIES
10/18/2018,1017.24,23072,554.7,ASSUMPTION_PLACEHOLDER_SERIES
10/19/2018,1023.48,23102,-832.6,ASSUMPTION_PLACEHOLDER_SERIES
10/22/2018,1028.37,23099,-143.1,ASSUMPTION_PLACEHOLDER_SERIES
10/23/2018,1010.13,23069,-5.7,ASSUMPTION_PLACEHOLDER_SERIES
10/24/2018,1003.41,23015,835.7,ASSUMPTION_PLACEHOLDER_SERIES
10/25/2018,1010.61,23034,-280.3,ASSUMPTION_PLACEHOLDER_SERIES
10/26/2018,1025.99,22986,-131.1,ASSUMPTION_PLACEHOLDER_SERIES
10/29/2018,1021.82,23017,312.8,ASSUMPTION_PLACEHOLDER_SERIES
10/30/2018,997.28,23017,397.5,ASSUMPTION_PLACEHOLDER_SERIES
10/31/2018,1005.68,23007,8.5,ASSUMPTION_PLACEHOLDER_SERIES
11/1/2018,1002.48,23018,542.8,ASSUMPTION_PLACEHOLDER_SERIES
11/2/2018,1012.51,23054,-474.7,ASSUMPTION_PLACEHOLDER_SERIES
11/5/2018,1008.57,23067,280.6,ASSUMPTION_PLACEHOLDER_SERIES
11/6/2018,1003.21,23025,-220.9,ASSUMPTION_PLACEHOLDER_SERIES
11/7/2018,1016.53,22980,-154.8,ASSUMPTION_PLACEHOLDER_SERIES
11/8/2018,1024.05,22908,-254.7,ASSUMPTION_PLACEHOLDER_SERIES
11/9/2018,1032.05,22919,-98.2,ASSUMPTION_PLACEHOLDER_SERIES
11/12/2018,1046.59,22906,640.6,ASSUMPTION_PLACEHOLDER_SERIES
11/13/2018,1025.8,22871,-24.2,ASSUMPTION_PLACEHOLDER_SERIES
11/14/2018,1042.48,22812,-112.6,ASSUMPTION_PLACEHOLDER_SERIES
11/15/2018,1032.87,22826,248.2,ASSUMPTION_PLACEHOLDER_SERIES
11/16/2018,1049.83,22853,722.2,ASSUMPTION_PLACEHOLDER_SERIES
11/19/2018,1059.91,22844,204.8,ASSUMPTION_PLACEHOLDER_SERIES
11/20/2018,1056.99,22779,-273.1,ASSUMPTION_PLACEHOLDER_SERIES
11/21/2018,1035.95,22748,-383.4,ASSUMPTION_PLACEHOLDER_SERIES
11/22/2018,1040.05,22758,-369.2,ASSUMPTION_PLACEHOLDER_SERIES
11/23/2018,1011.41,22754,-139.6,ASSUMPTION_PLACEHOLDER_SERIES
11/26/2018,1002.31,22806,696.4,ASSUMPTION_PLACEHOLDER_SERIES
11/27/2018,982.8,22798,133.6,ASSUMPTION_PLACEHOLDER_SERIES
11/28/2018,985.43,22781,353,ASSUMPTION_PLACEHOLDER_SERIES
11/29/2018,988.25,22801,-69.6,ASSUMPTION_PLACEHOLDER_SERIES
11/30/2018,986.98,22812,-245.9,ASSUMPTION_PLACEHOLDER_SERIES
12/3/2018,978.25,22871,293.2,ASSUMPTION_PLACEHOLDER_SERIES
12/4/2018,979.91,22914,274.6,ASSUMPTION_PLACEHOLDER_SERIES
12/5/2018,957.29,22899,325.9,ASSUMPTION_PLACEHOLDER_SERIES
12/6/2018,977.91,22894,642.9,ASSUMPTION_PLACEHOLDER_SERIES
12/7/2018,968.04,22918,-287.4,ASSUMPTION_PLACEHOLDER_SERIES
12/10/2018,990.12,22915,480.8,ASSUMPTION_PLACEHOLDER_SERIES
12/11/2018,979.02,22927,416.5,ASSUMPTION_PLACEHOLDER_SERIES
12/12/2018,1005.06,22992,331.9,ASSUMPTION_PLACEHOLDER_SERIES
12/13/2018,1003.76,22948,-397.3,ASSUMPTION_PLACEHOLDER_SERIES
12/14/2018,1029.76,22962,-133.8,ASSUMPTION_PLACEHOLDER_SERIES
12/17/2018,1024.9,22915,-109.5,ASSUMPTION_PLACEHOLDER_SERIES
12/18/2018,1032.82,22915,687.9,ASSUMPTION_PLACEHOLDER_SERIES
12/19/2018,1039.01,22909,-219.4,ASSUMPTION_PLACEHOLDER_SERIES
12/20/2018,1064.17,22885,-32.6,ASSUMPTION_PLACEHOLDER_SERIES
12/21/2018,1053.55,22922,564.9,ASSUMPTION_PLACEHOLDER_SERIES
12/24/2018,1060.13,22909,301.2,ASSUMPTION_PLACEHOLDER_SERIES
12/25/2018,1048.21,22920,-129.2,ASSUMPTION_PLACEHOLDER_SERIES
12/26/2018,1050.62,22924,336.1,ASSUMPTION_PLACEHOLDER_SERIES
12/27/2018,1043.17,22900,365.6,ASSUMPTION_PLACEHOLDER_SERIES
12/28/2018,1036.67,22934,602.3,ASSUMPTION_PLACEHOLDER_SERIES
12/31/2018,1020.97,22906,-22.5,ASSUMPTION_PLACEHOLDER_SERIES
1/1/2019,1029.89,22867,158.8,ASSUMPTION_PLACEHOLDER_SERIES
1/2/2019,1049.48,22874,1212.5,ASSUMPTION_PLACEHOLDER_SERIES
1/3/2019,1055.65,22984,307.4,ASSUMPTION_PLACEHOLDER_SERIES
1/4/2019,1061.73,22945,67.7,ASSUMPTION_PLACEHOLDER_SERIES
1/7/2019,1058.25,22934,325,ASSUMPTION_PLACEHOLDER_SERIES
1/8/2019,1066.32,22978,-575.2,ASSUMPTION_PLACEHOLDER_SERIES
1/9/2019,1059.56,22943,-851,ASSUMPTION_PLACEHOLDER_SERIES
1/10/2019,1073.44,22938,-41.6,ASSUMPTION_PLACEHOLDER_SERIES
1/11/2019,1067.31,22986,-88.6,ASSUMPTION_PLACEHOLDER_SERIES
1/14/2019,1053.52,22983,170.2,ASSUMPTION_PLACEHOLDER_SERIES
1/15/2019,1053.53,22986,-521.2,ASSUMPTION_PLACEHOLDER_SERIES
1/16/2019,1053.27,23029,-165.8,ASSUMPTION_PLACEHOLDER_SERIES
1/17/2019,1039.97,22958,70.8,ASSUMPTION_PLACEHOLDER_SERIES
1/18/2019,1034.99,22959,152,ASSUMPTION_PLACEHOLDER_SERIES
1/21/2019,1025.03,22931,-105.4,ASSUMPTION_PLACEHOLDER_SERIES
1/22/2019,1028.54,22908,481.6,ASSUMPTION_PLACEHOLDER_SERIES
1/23/2019,1029.47,22882,-57.3,ASSUMPTION_PLACEHOLDER_SERIES
1/24/2019,1033.58,22857,242.8,ASSUMPTION_PLACEHOLDER_SERIES
1/25/2019,1029.44,22884,327.6,ASSUMPTION_PLACEHOLDER_SERIES
1/28/2019,1026.37,22906,-286.4,ASSUMPTION_PLACEHOLDER_SERIES
1/29/2019,1026.11,22883,-157,ASSUMPTION_PLACEHOLDER_SERIES
1/30/2019,1028.43,22908,350.9,ASSUMPTION_PLACEHOLDER_SERIES
1/31/2019,1040.07,22913,-18.8,ASSUMPTION_PLACEHOLDER_SERIES
2/1/2019,1044.93,22971,-32.7,ASSUMPTION_PLACEHOLDER_SERIES
2/4/2019,1046.16,22960,520.4,ASSUMPTION_PLACEHOLDER_SERIES
2/5/2019,1045.38,23000,-202.6,ASSUMPTION_PLACEHOLDER_SERIES
2/6/2019,1041.63,22976,770.7,ASSUMPTION_PLACEHOLDER_SERIES
2/7/2019,1031.63,23037,887.6,ASSUMPTION_PLACEHOLDER_SERIES
2/8/2019,1035.19,23082,-357.7,ASSUMPTION_PLACEHOLDER_SERIES
2/11/2019,1037.75,23068,457.3,ASSUMPTION_PLACEHOLDER_SERIES
2/12/2019,1023,23076,-287,ASSUMPTION_PLACEHOLDER_SERIES
2/13/2019,1018.47,23060,302.9,ASSUMPTION_PLACEHOLDER_SERIES
2/14/2019,1029.82,23106,-208.9,ASSUMPTION_PLACEHOLDER_SERIES
2/15/2019,1039.94,23166,-287.3,ASSUMPTION_PLACEHOLDER_SERIES
2/18/2019,1040.64,23099,-148.1,ASSUMPTION_PLACEHOLDER_SERIES
2/19/2019,1053.1,23077,-1030.2,ASSUMPTION_PLACEHOLDER_SERIES
2/20/2019,1047,23039,307.7,ASSUMPTION_PLACEHOLDER_SERIES
2/21/2019,1051.1,23065,-1058.6,ASSUMPTION_PLACEHOLDER_SERIES
2/22/2019,1048.45,23049,356.4,ASSUMPTION_PLACEHOLDER_SERIES
2/25/2019,1063.81,23136,485,ASSUMPTION_PLACEHOLDER_SERIES
2/26/2019,1064.64,23118,59.5,ASSUMPTION_PLACEHOLDER_SERIES
2/27/2019,1071.92,23140,-499.7,ASSUMPTION_PLACEHOLDER_SERIES
2/28/2019,1088.95,23168,-334.6,ASSUMPTION_PLACEHOLDER_SERIES
3/1/2019,1074.93,23220,-183.9,ASSUMPTION_PLACEHOLDER_SERIES
3/4/2019,1077.39,23239,94.1,ASSUMPTION_PLACEHOLDER_SERIES
3/5/2019,1098.04,23198,151.9,ASSUMPTION_PLACEHOLDER_SERIES
3/6/2019,1087.24,23224,817.8,ASSUMPTION_PLACEHOLDER_SERIES
3/7/2019,1089.2,23212,771,ASSUMPTION_PLACEHOLDER_SERIES
3/8/2019,1101.88,23214,-318.2,ASSUMPTION_PLACEHOLDER_SERIES
3/11/2019,1112.66,23212,-213,ASSUMPTION_PLACEHOLDER_SERIES
3/12/2019,1116.79,23204,-1.6,ASSUMPTION_PLACEHOLDER_SERIES
3/13/2019,1098.76,23181,292.1,ASSUMPTION_PLACEHOLDER_SERIES
3/14/2019,1072.27,23107,318,ASSUMPTION_PLACEHOLDER_SERIES
3/15/2019,1061.5,23117,-683.5,ASSUMPTION_PLACEHOLDER_SERIES
3/18/2019,1054.1,23138,72.7,ASSUMPTION_PLACEHOLDER_SERIES
3/19/2019,1054.11,23069,-149,ASSUMPTION_PLACEHOLDER_SERIES
3/20/2019,1067.49,23101,430.8,ASSUMPTION_PLACEHOLDER_SERIES
3/21/2019,1078.41,23097,-294.1,ASSUMPTION_PLACEHOLDER_SERIES
3/22/2019,1060.91,23114,-341.1,ASSUMPTION_PLACEHOLDER_SERIES
3/25/2019,1080.76,23180,373.7,ASSUMPTION_PLACEHOLDER_SERIES
3/26/2019,1101.67,23184,56.7,ASSUMPTION_PLACEHOLDER_SERIES
3/27/2019,1107.78,23123,-457.5,ASSUMPTION_PLACEHOLDER_SERIES
3/28/2019,1089.97,23165,602.7,ASSUMPTION_PLACEHOLDER_SERIES
3/29/2019,1088.12,23159,406.7,ASSUMPTION_PLACEHOLDER_SERIES
4/1/2019,1082.76,23130,-369.1,ASSUMPTION_PLACEHOLDER_SERIES
