date,year,month,gdp_growth_yoy_pct,cpi_yoy_pct,cpi_mom_pct,usd_vnd,policy_rate_pct,on_rate_pct,vn_10y_yield_pct,credit_growth_ytd_pct,m2_growth_ytd_pct,regime,source_status
2016-06-30,2016,6,6.22,2.78,0.14,22725.0,6.5,5.57,6.34,9.39,9.02,normal,MIXED_INTERPOLATED
2016-07-31,2016,7,6.3,2.44,0.21,22631.0,6.5,5.7,6.15,10.63,10.48,normal,MIXED_INTERPOLATED
2016-08-31,2016,8,5.88,3.32,-0.04,22715.0,6.5,5.05,6.12,12.26,12.46,normal,MIXED_INTERPOLATED
2016-09-30,2016,9,5.73,2.47,0.09,22761.0,6.5,5.94,6.11,14.12,13.2,normal,MIXED_INTERPOLATED
2016-10-31,2016,10,6.41,2.74,0.03,22723.0,6.5,5.72,5.75,15.46,15.42,normal,MIXED_INTERPOLATED
2016-11-30,2016,11,6.08,2.84,0.11,22714.0,6.5,5.53,5.97,17.01,16.62,normal,MIXED_INTERPOLATED
2016-12-31,2016,12,6.25,2.28,0.22,22865.0,6.5,5.84,6.1,18.84,17.67,normal,MIXED_INTERPOLATED
2017-01-31,2017,1,7.02,3.76,0.47,22496.0,6.25,5.88,5.11,1.26,1.4,normal,MIXED_INTERPOLATED
2017-02-28,2017,2,7.1,3.68,0.43,22633.0,6.25,5.17,5.49,3.0,2.16,normal,MIXED_INTERPOLATED
2017-03-31,2017,3,6.57,3.42,0.39,22646.0,6.25,5.26,5.11,4.18,4.09,normal,MIXED_INTERPOLATED
2017-04-30,2017,4,6.78,3.63,0.5,22705.0,6.25,5.19,4.76,6.39,5.25,normal,MIXED_INTERPOLATED
2017-05-31,2017,5,6.82,3.16,0.34,22646.0,6.25,4.87,4.84,7.59,6.44,normal,MIXED_INTERPOLATED
2017-06-30,2017,6,7.06,3.16,0.37,22752.0,6.25,4.96,5.03,9.67,7.76,normal,MIXED_INTERPOLATED
2017-07-31,2017,7,6.51,3.57,0.25,22841.0,6.25,5.21,4.91,10.8,9.43,normal,MIXED_INTERPOLATED
2017-08-31,2017,8,6.95,3.45,0.22,22821.0,6.25,5.22,4.82,12.26,10.9,normal,MIXED_INTERPOLATED
2017-09-30,2017,9,6.64,3.63,-0.01,22862.0,6.25,5.63,5.13,13.52,11.55,normal,MIXED_INTERPOLATED
2017-10-31,2017,10,7.64,3.55,0.22,22856.0,6.25,5.15,5.06,15.08,13.04,normal,MIXED_INTERPOLATED
2017-11-30,2017,11,6.74,3.19,0.26,22837.0,6.25,5.94,5.3,16.01,14.88,normal,MIXED_INTERPOLATED
2017-12-31,2017,12,6.73,3.35,0.26,22906.0,6.25,5.47,5.26,18.1,16.28,normal,MIXED_INTERPOLATED
2018-01-31,2018,1,6.57,3.47,0.3,22998.0,6.25,5.45,5.15,1.29,1.29,normal,MIXED_INTERPOLATED
2018-02-28,2018,2,7.07,4.0,0.52,23040.0,6.25,4.9,4.82,2.15,2.52,normal,MIXED_INTERPOLATED
2018-03-31,2018,3,7.2,3.4,0.5,23100.0,6.25,5.32,4.82,4.1,3.97,normal,MIXED_INTERPOLATED
2018-04-30,2018,4,7.23,3.72,0.38,23179.0,6.25,4.94,4.64,4.62,5.06,normal,MIXED_INTERPOLATED
2018-05-31,2018,5,7.07,3.94,0.28,23207.0,6.25,5.22,5.33,5.44,6.16,normal,MIXED_INTERPOLATED
2018-06-30,2018,6,6.97,3.25,0.15,23283.0,6.25,5.8,5.14,7.13,6.87,normal,MIXED_INTERPOLATED
2018-07-31,2018,7,7.02,3.34,0.12,23148.0,6.25,5.28,4.77,7.93,8.2,normal,MIXED_INTERPOLATED
2018-08-31,2018,8,7.37,3.86,0.14,23213.0,6.25,5.04,4.99,9.33,9.09,normal,MIXED_INTERPOLATED
2018-09-30,2018,9,6.7,3.64,0.09,23233.0,6.25,5.44,5.27,10.21,10.72,normal,MIXED_INTERPOLATED
2018-10-31,2018,10,7.32,3.7,0.28,23346.0,6.25,5.04,5.01,11.49,11.74,normal,MIXED_INTERPOLATED
2018-11-30,2018,11,6.91,3.96,0.25,23238.0,6.25,5.51,5.11,12.87,12.9,normal,MIXED_INTERPOLATED
2018-12-31,2018,12,7.06,3.52,0.32,23367.0,6.25,5.85,5.01,13.9,13.78,normal,MIXED_INTERPOLATED
2019-01-31,2019,1,7.64,2.56,0.27,23113.0,6.0,5.8,4.42,1.25,0.96,normal,MIXED_INTERPOLATED
2019-02-28,2019,2,7.22,2.62,0.35,23125.0,6.0,5.29,4.83,2.42,2.82,normal,MIXED_INTERPOLATED
2019-03-31,2019,3,6.78,2.26,0.42,23154.0,6.0,5.74,4.81,3.97,3.15,normal,MIXED_INTERPOLATED
2019-04-30,2019,4,6.72,2.8,0.28,23103.0,6.0,5.53,4.94,4.56,4.36,normal,MIXED_INTERPOLATED
2019-05-31,2019,5,7.04,3.05,0.4,23230.0,6.0,4.91,5.01,5.39,6.07,normal,MIXED_INTERPOLATED
2019-06-30,2019,6,7.27,2.59,0.41,23224.0,6.0,5.54,4.64,6.13,6.81,normal,MIXED_INTERPOLATED
2019-07-31,2019,7,7.2,3.04,0.06,23221.0,6.0,4.84,5.33,7.84,7.96,normal,MIXED_INTERPOLATED
2019-08-31,2019,8,7.32,3.13,0.21,23286.0,6.0,4.96,5.17,9.07,9.01,normal,MIXED_INTERPOLATED
2019-09-30,2019,9,6.86,2.86,0.07,23305.0,6.0,5.23,4.59,10.23,9.55,normal,MIXED_INTERPOLATED
2019-10-31,2019,10,6.45,2.5,0.17,23363.0,6.0,5.31,4.52,11.72,11.34,normal,MIXED_INTERPOLATED
2019-11-30,2019,11,7.13,1.98,0.05,23373.0,6.0,4.69,4.93,12.51,12.08,normal,MIXED_INTERPOLATED
2019-12-31,2019,12,7.28,2.68,0.24,23426.0,6.0,5.56,4.7,13.4,14.07,normal,MIXED_INTERPOLATED
2020-01-31,2020,1,3.06,3.68,0.36,23044.0,4.0,3.95,2.57,1.13,1.22,covid_liquidity_shock,MIXED_INTERPOLATED
2020-02-29,2020,2,3.02,3.07,0.43,23101.0,4.0,2.95,2.51,1.72,2.67,covid_liquidity_shock,MIXED_INTERPOLATED
2020-03-31,2020,3,3.23,2.84,0.44,23032.0,4.0,3.24,2.85,3.44,3.71,covid_liquidity_shock,MIXED_INTERPOLATED
2020-04-30,2020,4,3.09,3.26,0.3,23114.0,4.0,3.62,2.87,4.09,4.95,covid_liquidity_shock,MIXED_INTERPOLATED
2020-05-31,2020,5,3.12,3.2,0.34,23107.0,4.0,2.64,3.24,5.19,6.05,covid_liquidity_shock,MIXED_INTERPOLATED
2020-06-30,2020,6,2.89,3.48,0.25,23126.0,4.0,3.05,2.92,5.92,7.46,covid_liquidity_shock,MIXED_INTERPOLATED
2020-07-31,2020,7,2.55,3.01,0.1,23138.0,4.0,3.15,3.35,7.04,8.61,covid_liquidity_shock,MIXED_INTERPOLATED
2020-08-31,2020,8,2.96,3.04,0.17,23211.0,4.0,3.19,3.33,8.49,9.8,covid_liquidity_shock,MIXED_INTERPOLATED
2020-09-30,2020,9,2.82,3.09,0.17,23217.0,4.0,2.39,2.71,9.13,10.61,covid_liquidity_shock,MIXED_INTERPOLATED
2020-10-31,2020,10,3.01,3.13,0.29,23282.0,4.0,3.5,3.04,9.8,11.96,covid_liquidity_shock,MIXED_INTERPOLATED
2020-11-30,2020,11,3.12,2.78,0.17,23267.0,4.0,3.41,2.57,10.43,13.6,covid_liquidity_shock,MIXED_INTERPOLATED
2020-12-31,2020,12,2.93,3.09,0.34,23291.0,4.0,2.94,2.93,12.18,14.35,covid_liquidity_shock,MIXED_INTERPOLATED
2021-01-31,2021,1,2.78,1.43,0.19,22644.0,4.0,3.2,2.53,0.89,0.97,normal,MIXED_INTERPOLATED
2021-02-28,2021,2,2.43,2.1,0.3,22745.0,4.0,2.98,2.42,1.99,1.5,normal,MIXED_INTERPOLATED
2021-03-31,2021,3,2.31,2.51,0.4,22670.0,4.0,2.94,2.54,3.59,2.67,normal,MIXED_INTERPOLATED
2021-04-30,2021,4,2.91,1.7,0.45,22737.0,4.0,3.04,1.77,4.39,3.15,normal,MIXED_INTERPOLATED
2021-05-31,2021,5,2.68,1.83,0.37,22789.0,4.0,3.02,2.3,5.39,4.59,normal,MIXED_INTERPOLATED
2021-06-30,2021,6,2.35,1.79,0.08,22720.0,4.0,3.69,2.27,6.63,5.44,normal,MIXED_INTERPOLATED
2021-07-31,2021,7,2.39,1.65,0.01,22804.0,4.0,3.18,2.18,7.47,6.02,normal,MIXED_INTERPOLATED
2021-08-31,2021,8,2.57,1.85,-0.02,22883.0,4.0,3.53,2.5,9.2,6.91,normal,MIXED_INTERPOLATED
2021-09-30,2021,9,2.48,1.67,0.02,22910.0,4.0,3.41,2.43,10.59,7.8,normal,MIXED_INTERPOLATED
2021-10-31,2021,10,2.47,1.72,0.03,22906.0,4.0,3.42,2.15,11.37,8.55,normal,MIXED_INTERPOLATED
2021-11-30,2021,11,2.67,2.06,0.04,22970.0,4.0,3.07,2.47,12.7,9.44,normal,MIXED_INTERPOLATED
2021-12-31,2021,12,2.37,1.84,0.21,22953.0,4.0,2.96,1.9,14.24,10.78,normal,MIXED_INTERPOLATED
2022-01-31,2022,1,7.87,2.74,0.16,23354.0,6.0,5.01,4.9,1.28,1.38,fx_rate_tightening,MIXED_INTERPOLATED
2022-02-28,2022,2,7.94,2.91,0.34,23477.0,6.0,5.26,5.13,1.76,2.19,fx_rate_tightening,MIXED_INTERPOLATED
2022-03-31,2022,3,8.46,2.72,0.4,23415.0,6.0,5.53,4.94,3.82,3.03,fx_rate_tightening,MIXED_INTERPOLATED
2022-04-30,2022,4,8.14,3.23,0.5,23482.0,6.0,5.59,4.72,4.76,4.2,fx_rate_tightening,MIXED_INTERPOLATED
2022-05-31,2022,5,7.78,2.68,0.29,23430.0,6.0,5.98,4.6,5.53,5.13,fx_rate_tightening,MIXED_INTERPOLATED
2022-06-30,2022,6,7.83,3.04,0.07,23482.0,6.0,6.1,5.02,7.25,6.18,fx_rate_tightening,MIXED_INTERPOLATED
2022-07-31,2022,7,7.56,3.27,0.1,23573.0,6.0,5.3,5.02,7.97,7.27,fx_rate_tightening,MIXED_INTERPOLATED
2022-08-31,2022,8,7.76,3.2,0.11,23473.0,6.0,4.63,4.9,9.75,8.46,fx_rate_tightening,MIXED_INTERPOLATED
2022-09-30,2022,9,8.13,3.44,0.01,23600.0,6.0,4.24,4.48,10.79,9.32,fx_rate_tightening,MIXED_INTERPOLATED
2022-10-31,2022,10,7.91,3.13,0.15,23658.0,6.0,5.22,4.93,12.16,10.56,fx_rate_tightening,MIXED_INTERPOLATED
2022-11-30,2022,11,7.86,2.89,0.11,23665.0,6.0,5.27,4.27,13.48,11.56,fx_rate_tightening,MIXED_INTERPOLATED
2022-12-31,2022,12,8.13,2.99,0.23,23676.0,6.0,5.59,4.68,14.6,12.14,fx_rate_tightening,MIXED_INTERPOLATED
2023-01-31,2023,1,4.82,3.58,0.2,24088.0,4.5,3.82,2.27,1.01,1.26,bond_real_estate_stress,MIXED_INTERPOLATED
2023-02-28,2023,2,4.83,3.18,0.52,24206.0,4.5,3.83,3.09,2.18,2.07,bond_real_estate_stress,MIXED_INTERPOLATED
2023-03-31,2023,3,5.08,2.63,0.41,24180.0,4.5,4.08,2.44,3.75,2.61,bond_real_estate_stress,MIXED_INTERPOLATED
2023-04-30,2023,4,5.0,3.14,0.44,24303.0,4.5,3.8,2.44,4.56,3.0,bond_real_estate_stress,MIXED_INTERPOLATED
2023-05-31,2023,5,5.05,3.18,0.34,24269.0,4.5,3.29,2.38,5.18,4.24,bond_real_estate_stress,MIXED_INTERPOLATED
2023-06-30,2023,6,5.33,3.29,0.29,24293.0,4.5,3.85,2.06,7.02,4.6,bond_real_estate_stress,MIXED_INTERPOLATED
2023-07-31,2023,7,4.55,3.67,0.23,24342.0,4.5,4.13,2.81,7.89,5.94,bond_real_estate_stress,MIXED_INTERPOLATED
2023-08-31,2023,8,4.79,3.69,0.04,24363.0,4.5,3.68,2.6,9.4,6.79,bond_real_estate_stress,MIXED_INTERPOLATED
2023-09-30,2023,9,5.12,3.34,0.17,24387.0,4.5,3.53,2.4,10.46,8.12,bond_real_estate_stress,MIXED_INTERPOLATED
2023-10-31,2023,10,5.72,2.53,0.27,24445.0,4.5,3.34,2.88,11.39,8.46,bond_real_estate_stress,MIXED_INTERPOLATED
2023-11-30,2023,11,5.29,2.62,0.23,24477.0,4.5,3.53,2.78,13.12,8.81,bond_real_estate_stress,MIXED_INTERPOLATED
2023-12-31,2023,12,5.25,3.59,0.37,24487.0,4.5,3.31,2.16,14.0,10.24,bond_real_estate_stress,MIXED_INTERPOLATED
2024-01-31,2024,1,7.2,3.37,0.33,24448.0,4.5,3.6,2.85,0.8,0.84,normal,MIXED_INTERPOLATED
2024-02-29,2024,2,6.94,3.49,0.43,24422.0,4.5,3.56,2.21,2.52,2.02,normal,MIXED_INTERPOLATED
2024-03-31,2024,3,7.07,3.88,0.37,24533.0,4.5,4.14,2.82,3.8,2.73,normal,MIXED_INTERPOLATED
2024-04-30,2024,4,7.38,3.68,0.44,24531.0,4.5,3.78,2.53,5.18,3.97,normal,MIXED_INTERPOLATED
2024-05-31,2024,5,7.29,3.47,0.41,24577.0,4.5,3.99,2.68,6.44,4.91,normal,MIXED_INTERPOLATED
2024-06-30,2024,6,7.37,3.49,0.22,24655.0,4.5,4.35,2.83,7.61,6.09,normal,MIXED_INTERPOLATED
2024-07-31,2024,7,6.63,3.09,0.17,24666.0,4.5,3.65,2.95,8.69,6.99,normal,MIXED_INTERPOLATED
2024-08-31,2024,8,6.92,3.99,0.15,24622.0,4.5,3.76,2.61,9.9,7.54,normal,MIXED_INTERPOLATED
2024-09-30,2024,9,7.15,4.12,0.16,24749.0,4.5,3.95,2.75,11.35,9.0,normal,MIXED_INTERPOLATED
2024-10-31,2024,10,7.55,4.04,0.23,24621.0,4.5,3.9,2.41,12.55,9.91,normal,MIXED_INTERPOLATED
2024-11-30,2024,11,7.07,3.32,0.22,24752.0,4.5,3.37,2.75,13.48,11.27,normal,MIXED_INTERPOLATED
2024-12-31,2024,12,7.45,3.06,0.36,24789.0,4.5,3.85,2.69,15.58,12.01,normal,MIXED_INTERPOLATED
2025-01-31,2025,1,8.48,3.48,0.4,24906.0,4.5,3.49,3.45,1.07,0.87,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-02-28,2025,2,7.68,3.75,0.27,24896.0,4.5,3.34,3.77,2.75,2.26,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-03-31,2025,3,8.31,3.45,0.47,25035.0,4.5,3.63,3.27,3.72,3.04,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-04-30,2025,4,8.02,3.0,0.44,25086.0,4.5,3.26,3.01,4.79,4.67,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-05-31,2025,5,8.27,2.95,0.43,25098.0,4.5,4.22,3.89,6.57,5.63,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-06-30,2025,6,8.19,3.78,0.36,25075.0,4.5,3.11,3.47,7.84,6.2,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-07-31,2025,7,7.94,3.59,0.17,25086.0,4.5,4.08,3.71,9.13,7.4,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-08-31,2025,8,7.63,3.72,0.27,25115.0,4.5,3.84,3.61,10.8,8.77,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-09-30,2025,9,8.27,3.57,0.2,25172.0,4.5,3.74,4.03,11.2,10.02,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-10-31,2025,10,7.83,3.98,0.11,25247.0,4.5,4.37,3.48,13.61,10.79,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-11-30,2025,11,8.2,3.3,0.35,25254.0,4.5,4.02,3.66,14.9,11.43,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2025-12-31,2025,12,7.75,3.8,0.36,25330.0,4.5,3.73,3.32,15.78,12.78,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2026-01-31,2026,1,6.87,4.03,0.4,25242.0,4.75,4.09,4.27,1.14,1.09,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2026-02-28,2026,2,6.67,3.85,0.43,25189.0,4.75,3.42,4.25,2.28,1.71,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2026-03-31,2026,3,6.77,3.96,0.39,25310.0,4.75,4.19,4.16,3.7,2.98,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2026-04-30,2026,4,6.73,4.08,0.54,25275.0,4.75,4.06,4.11,5.06,4.31,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2026-05-31,2026,5,6.66,4.41,0.47,25334.0,4.75,3.78,4.59,6.14,5.04,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2026-06-30,2026,6,6.69,3.7,0.45,25332.0,4.75,4.12,4.53,7.11,6.83,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2026-07-31,2026,7,6.93,4.03,0.13,25437.0,4.75,2.86,4.17,8.58,7.41,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
2026-08-31,2026,8,6.79,3.95,0.23,25456.0,4.75,3.74,4.21,9.94,8.32,forecast_scenario,FORECAST_SCENARIO_PLACEHOLDER
